broker;district;price;type;category;area;lat;long;num_bedroom;num_bathroom;num_garage;added_date;sold_date;is_sold;days_on_market;price_per_m2
Silvio Iwata;;750000.0;;Casa;134.69;-23.3654624;-51.9418198;3.0;3.0;2.0;2025-08-05;;False;;5568.342118939788
Pedro Granado Imóveis;Jardim Solimões;160000.0;Padrão;Terreno;200.0;;;;;;2025-08-06;;False;;800.0
Pedro Granado Imóveis;Jardim Solimões;160000.0;Padrão;Terreno;200.0;;;;;;2025-08-06;2025-08-13;True;7.0;800.0
Pedro Granado Imóveis;Jardim Universitário;365000.0;Padrão;Apartamento;48.44;;;2.0;2.0;1.0;2025-08-06;;False;;7535.094962840628
Pedro Granado Imóveis;Bom Jardim;400000.0;Padrão;Terreno;400.0;;;;;;2025-08-06;;False;;1000.0
Pedro Granado Imóveis;Zona 01;605000.0;Padrão;Apartamento;45.61;;;2.0;1.0;;2025-08-06;2025-08-10;True;4.0;13264.634948476212
Pedro Granado Imóveis;Zona 08;;Padrão;Apartamento;79.41;;;2.0;2.0;1.0;2025-08-06;;False;;
Pedro Granado Imóveis;Zona 01;1680000.0;Padrão;Apartamento;112.0;;;3.0;5.0;3.0;2025-08-06;;False;;15000.0
Pedro Granado Imóveis;Zona 01;3450000.0;Padrão;Apartamento;207.2;;;3.0;5.0;3.0;2025-08-06;;False;;16650.579150579153
Lelo Imóveis;Zona 01;650000.0;;Apartamento;127.0;-23.4219;-51.9462824;;;;2025-08-06;;False;;5118.110236220473
Lelo Imóveis;Conj Inocente Vila Nova Junior;1249000.0;;Casa;262.0;-23.4416407;-51.9556345;3.0;;2.0;2025-08-06;2025-09-03;True;28.0;4767.175572519084
Lelo Imóveis;Parque Das Grevileas I Parte;830000.0;;Casa;355.57;-23.3790485;-51.9326882;3.0;;;2025-08-06;;False;;2334.280169868099
Lelo Imóveis;Parque Das Grevileas I Parte;830000.0;;Apartamento;355.57;-23.3790485;-51.9326882;3.0;;;2025-08-06;;False;;2334.280169868099
Lelo Imóveis;Parque Das Grevileas I Parte;830000.0;;Comercial;355.57;-23.3790485;-51.9326882;;;;2025-08-06;;False;;2334.280169868099
Lelo Imóveis;Zona 07;320000.0;;Apartamento;74.16;-23.4105412;-51.9329029;3.0;;1.0;2025-08-06;;False;;4314.994606256742
Silvio Iwata;Chácaras Aeroporto;500000.0;;Terreno;450.12;-23.466482;-51.897067;;;;2025-08-06;;False;;1110.814893806096
Pedro Granado Imóveis;Zona 7;;Kitnet;Apartamento;18.4;;;1.0;1.0;;2025-08-07;;False;;
Pedro Granado Imóveis;Parque Residencial Cidade Nova;930000.0;Casa;Casa;;;;1.0;1.0;;2025-08-07;;False;;
Pedro Granado Imóveis;Zona 03;1195000.0;Padrão;Apartamento;101.0;;;3.0;2.0;1.0;2025-08-07;2025-08-12;True;5.0;11831.683168316831
Lelo Imóveis;Zona 07;319000.0;;Apartamento;126.19;-23.4079841;-51.9405787;3.0;;1.0;2025-08-07;;False;;2527.934067675727
Lelo Imóveis;Jardim Guapore;1249000.0;;Casa;262.0;-23.4416407;-51.9556345;3.0;;2.0;2025-08-07;;False;;4767.175572519084
Silvio Iwata;Zona 06;235000.0;;Apartamento;47.92;-23.4283079;-51.9719695;2.0;2.0;1.0;2025-08-07;;False;;4904.006677796327
Silvio Iwata;Jardins De Monet Residence;640000.0;;Terreno;556.46;-23.3605074;-52.0084744;;;;2025-08-07;;False;;1150.1275922797684
Pedro Granado Imóveis;Jardim Alvorada;;Padrão;Apartamento;50.48;;;2.0;1.0;;2025-08-08;2025-09-03;True;26.0;
Pedro Granado Imóveis;Vila Marumby;1150000.0;Padrão;Apartamento;103.71;;;3.0;2.0;1.0;2025-08-08;;False;;11088.612477099605
Pedro Granado Imóveis;Zona 38;4500000.0;Condomínio Fechado;Casa;450.0;;;4.0;5.0;4.0;2025-08-08;;False;;10000.0
Lelo Imóveis;Zona 08;230000.0;;Apartamento;45.36;-23.4438604;-51.91541;1.0;;1.0;2025-08-08;;False;;5070.5467372134035
Lelo Imóveis;Zona 07;850000.0;;Apartamento;233.13;0.0;0.0;4.0;;3.0;2025-08-08;;False;;3646.0344014069406
Lelo Imóveis;Zona 07;630000.0;;Casa;135.56;-23.4069146;-51.9431752;3.0;;3.0;2025-08-08;;False;;4647.388610209501
Silvio Iwata;;1390000.0;;Casa;211.69;-23.4106372;-51.8827794;3.0;3.0;2.0;2025-08-08;;False;;6566.205300203127
Lelo Imóveis;Zona 07;649000.0;;Apartamento;195.0;-23.4180961;-51.9277557;2.0;;2.0;2025-08-09;2025-09-03;True;25.0;3328.2051282051284
Lelo Imóveis;Vila Morangueira;500000.0;;Casa;152.24;-23.4087506;-51.9169332;3.0;;2.0;2025-08-09;;False;;3284.287966368891
Silvio Iwata;;150000.0;;Terreno;333.0;-23.39633023764088;-51.8926951731359;;;;2025-08-09;;False;;450.45045045045043
Pedro Granado Imóveis;Jardim São Jorge;320000.0;Casa;Casa;183.94;;;3.0;2.0;;2025-08-11;2025-09-03;True;23.0;1739.6977275198435
Pedro Granado Imóveis;Parque Lagoa Dourada;480000.0;Casa;Casa;103.28;;;3.0;2.0;1.0;2025-08-11;;False;;4647.560030983734
Pedro Granado Imóveis;Jardim Santa Rosa;495000.0;Casa;Casa;117.9;;;3.0;2.0;1.0;2025-08-11;;False;;4198.473282442748
Pedro Granado Imóveis;Jardim São Conrado;650000.0;Casa;Casa;171.83;;;3.0;2.0;1.0;2025-08-11;2025-09-03;True;23.0;3782.8085898853515
Pedro Granado Imóveis;Zona 08;750000.0;Padrão;Apartamento;66.53;;;2.0;2.0;1.0;2025-08-11;;False;;11273.10987524425
