property_url;broker;district;price;type;city;state;ref;category;area;lat;long;num_bedroom;num_bathroom;num_garage;added_date;sold_date
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-maravilha/54572;Pedro Granado Imóveis;Jardim Maravilha;R$ 210.000,00;Padrão;Maringá;PR;54572.0;Apartamento;60,89 m²;-23.4209995;-51.9330558;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/conjunto-habitacional-lea-leal/91703;Pedro Granado Imóveis;Conjunto Habitacional Lea Leal;R$ 210.000,00;Padrão;Maringá;PR;91703.0;Apartamento;53,94 m²;-23.4156348;-51.89918660000001;3;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/novo-horizonte/10463;Pedro Granado Imóveis;Novo Horizonte;R$ 210.000,00;Padrão;Maringá;PR;10463.0;Apartamento;55,96 m²;-23.44874072766661;-51.93362716242675;3;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-07/81563;Pedro Granado Imóveis;Zona 07;R$ 210.000,00;Padrão;Maringá;PR;81563.0;Apartamento;44,42 m²;-23.4091784;-51.9417964;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/vila-marumby/1802;Pedro Granado Imóveis;Vila Marumby;R$ 215.000,00;Padrão;Maringa;PR;1802.0;Apartamento;53,23 m²;-23.4383717;-51.92506209999999;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/terreno/padrao/jardim-olimpico/05561;Pedro Granado Imóveis;Jardim Olímpico;R$ 215.000,00;Padrão;Maringá;PR;5561.0;Terreno;300,00 m²;-23.407975;-51.97684779999999;-;-;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/kitnet/zona-07/23111;Pedro Granado Imóveis;Zona 07;R$ 220.000,00;Kitnet;Maringá;PR;23111.0;Apartamento;26,07 m²;-23.4108214;-51.93465230000004;1;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-alvorada/49082;Pedro Granado Imóveis;Jardim Alvorada;R$ 220.000,00;Padrão;Maringá;PR;49082.0;Apartamento;52,00 m²;-23.39091013662381;-51.90589038709716;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/kitnet/zona-01/75023;Pedro Granado Imóveis;Zona 01;R$ 220.000,00;Kitnet;Maringá;PR;75023.0;Apartamento;36,17 m²;-23.4230803;-51.9370062;1;1;1;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/chacaras-alvorada/39443;Pedro Granado Imóveis;Chacaras Alvorada;R$ 220.000,00;Padrão;Maringá;PR;39443.0;Apartamento;45,44 m²;-23.39085834491324;-51.90850191517621;2;1;-;2025-04-15;
