property_url;broker_x;district_x;price_x;type_x;city_x;state_x;ref_x;category_x;area_x;lat_x;long_x;num_bedroom_x;num_bathroom_x;num_garage_x;broker_y;district_y;price_y;type_y;city_y;state_y;ref_y;category_y;area_y;lat_y;long_y;num_bedroom_y;num_bathroom_y;num_garage_y;added_date
https://www.silvioiwata.com.br/imovel/3620005585/terreno-comercial-a-venda/maringa-pr-loteamento-sumare ;Silvio Iwata;;R$ 349.000,00;;Maringá;PR;;Terreno Comercial;482,64 m²;-23.3780698;-51.9038469;;;;;;;;;;;;;;;;;;2025-02-06
https://www.silvioiwata.com.br/imovel/3620005589/apartamento-a-venda/maringa-pr-zona-04 ;Silvio Iwata;Zona 04;R$ 350.000,00;;Maringá;PR;;Apartamento;101,76 m²;-23.4341948;-51.9487159;3.0;2;1;;;;;;;;;;;;;;;2025-02-06
https://www.silvioiwata.com.br/imovel/3620004917/barracao-a-venda/california-pr-colonizacao-nova-california ;Silvio Iwata;;R$ 450.000,00;;Califórnia;PR;;Barracão;254,58 m²;-24.3356784;-50.6162911;1;1;;;;;;;;;;;;;;;;2025-02-06
https://www.silvioiwata.com.br/imovel/3620004939/apartamento-a-venda/maringa-pr-zona-07 ;Silvio Iwata;Zona 07;R$ 550.000,00;;Maringá;PR;;Apartamento;114,13 m²;-23.4144593;-51.9297018;3.0;3;1;;;;;;;;;;;;;;;2025-02-06
https://www.silvioiwata.com.br/imovel/3620005587/casa-a-venda/maringa-pr-cj-hab-hermann-moraes-barros ;Silvio Iwata;;R$ 560.000,00;;Maringá;PR;;Casa;85,00 m²;-23.379366;-51.9391297;4.0;2;1;;;;;;;;;;;;;;;2025-02-06
https://www.silvioiwata.com.br/imovel/3620004746/casa-a-venda/maringa-pr-bom-jd ;Silvio Iwata;;R$ 748.000,00;;Maringá;PR;;Casa;137,92 m²;-23.4209995;-51.9330558;3.0;2;2;;;;;;;;;;;;;;;2025-02-06
https://www.silvioiwata.com.br/imovel/3620005592/casa-a-venda/maringa-pr-jd-cidade-moncoes ;Silvio Iwata;;R$ 850.000,00;;Maringá;PR;;Casa;141,98 m²;-23.448405;-51.9509031;4.0;3;4;;;;;;;;;;;;;;;2025-02-06
https://www.silvioiwata.com.br/imovel/3620005593/casa-em-condominio-a-venda/maringa-pr-zona-08 ;Silvio Iwata;Zona 08;R$ 2.390.000,00;;Maringá;PR;;Casa em Condomínio;298,36 m²;-23.4398794;-51.9187672;3;5;2;;;;;;;;;;;;;;;2025-02-06
https://www.silvioiwata.com.br/imovel/3620005189/casa-a-venda/maringa-pr-jd-cidade-moncoes ;Silvio Iwata;;R$ 3.490.000,00;;Maringá;PR;;Casa;315,78 m²;-23.4452866;-51.9502762;3;3;2;;;;;;;;;;;;;;;2025-02-06
https://www.silvioiwata.com.br/imovel/3620004777/terreno-a-venda/maringa-pr-gleba-ribeirao-atlantique ;Silvio Iwata;;R$ 6.500.000,00;;Maringá;PR;;Terreno;121,00 m²;-23.4209995;-51.9330558;;;;;;;;;;;;;;;;;;2025-02-06
https://www.silvioiwata.com.br/imovel/3620004776/terreno-a-venda/maringa-pr-gleba-ribeirao-atlantique ;Silvio Iwata;;R$ 11.000.000,00;;Maringá;PR;;Terreno;242.000,00 m²;-23.4209995;-51.9330558;;;;;;;;;;;;;;;;;;2025-02-06
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/casa/jardim-paulista-iv/80063;Pedro Granado Imóveis;Jardim Paulista Iv;R$ 490.000,00;Casa;Maringá;PR;80063.0;Casa/Sobrado;117,00 m²;-23.405749;-51.8698687;3;3;1;;;;;;;;;;;;;;;2025-02-08
https://www.leloimoveis.com.br/imovel/apartamento-2-quartos-chacaras-aeroporto-maringa-com-garagem-55m2-venda-rs-178000?id=79900&ref=79900.12713;Lelo Imóveis;Chacaras Aeroporto;R$ 178.000,00;;Maringa;PR;79900.12713;Apartamento;55,71m²;-23.3815967;-51.905632;2;;1;;;;;;;;;;;;;;;2025-02-08
https://www.leloimoveis.com.br/imovel/casa-residencial-jardim-alvorada-iii-maringa-165m2-venda-rs-415000?id=79900&ref=79900.12712;Lelo Imóveis;Jardim Alvorada III;R$ 415.000,00;;Maringa;PR;79900.12712;Casa;165,00m²;-23.3857172;-51.9106386;;;;;;;;;;;;;;;;;;2025-02-08
https://www.silvioiwata.com.br/imovel/3620005598/apartamento-a-venda/maringa-pr-chacaras-aeroporto ;Silvio Iwata;Chácaras Aeroporto;R$ 205.000,00;;Maringá;PR;;Apartamento;44,25 m²;-23.4741153;-51.9064459;2;1;1;;;;;;;;;;;;;;;2025-02-08
https://www.silvioiwata.com.br/imovel/3620005071/casa-a-venda/maringa-pr-vl-morangueira ;Silvio Iwata;;R$ 450.000,00;;Maringá;PR;;Casa;63,00 m²;-23.4098768;-51.9206993;3;1;2;;;;;;;;;;;;;;;2025-02-08
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-america/49613;Pedro Granado Imóveis;Jardim América;R$ 270.000,00;Padrão;Maringá;PR;49613.0;Apartamento;45,86 m²;-23.4279265;-51.8869951;2;1;-;;;;;;;;;;;;;;;2025-02-10
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-03/04163;Pedro Granado Imóveis;Zona 03;R$ 390.000,00;Padrão;Maringá;PR;4163.0;Apartamento;143,00 m²;-23.42451238195035;-51.92507582268447;3;5;3;;;;;;;;;;;;;;;2025-02-10
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-08/86063;Pedro Granado Imóveis;Zona 08;R$ 530.000,00;Padrão;Maringá;PR;86063.0;Apartamento;59,21 m²;-23.4345201;-51.91149979999999;2;2;1;;;;;;;;;;;;;;;2025-02-10
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-04/99953;Pedro Granado Imóveis;Zona 04;R$ 545.000,00;Padrão;Maringá;PR;99953.0;Apartamento;143,86 m²;-23.4209995;-51.9330558;3;2;1;;;;;;;;;;;;;;;2025-02-10
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/casa/parque-das-grevileas-3-parte/57812;Pedro Granado Imóveis;Parque Das Grevíleas 3ª Parte;R$ 599.000,00;Casa;Maringá;PR;57812.0;Casa/Sobrado;162,34 m²;-23.3850923;-51.92910639999999;3;2;1;;;;;;;;;;;;;;;2025-02-10
https://www.pedrogranado.com.br/comprar/maringa/predio/inteiro/parque-residencial-aeroporto-2-parte/78503;Pedro Granado Imóveis;Parque Residencial Aeroporto (2ª Parte);R$ 1.220.000,00;Inteiro;Maringá;PR;78503.0;Prédio;400,00 m²;-23.4387801;-51.8971731;6;7;2;;;;;;;;;;;;;;;2025-02-10
