property_url;broker_x;district_x;price_x;type_x;city_x;state_x;ref_x;category_x;area_x;lat_x;long_x;num_bedroom_x;num_bathroom_x;num_garage_x;broker_y;district_y;price_y;type_y;city_y;state_y;ref_y;category_y;area_y;lat_y;long_y;num_bedroom_y;num_bathroom_y;num_garage_y;sold_date
https://www.silvioiwata.com.br/imovel/3620005072/casa-a-venda/maringa-pr-jd-alvorada ;Silvio Iwata;;R$ 980.000,00;;Maringá;PR;;Casa;264,37 m²;-23.391649;-51.918992;4.0;3.0;3;;;;;;;;;;;;;;;2025-02-08
https://www.silvioiwata.com.br/imovel/3620005189/casa-a-venda/maringa-pr-jd-cidade-moncoes ;Silvio Iwata;;R$ 3.490.000,00;;Maringá;PR;;Casa;315,78 m²;-23.4452866;-51.9502762;3;3.0;2;;;;;;;;;;;;;;;2025-02-08
https://www.silvioiwata.com.br/imovel/3620004421/apartamento-a-venda/maringa-pr-zona-01-centro ;Silvio Iwata;Zona 01 Centro;R$ 4.500.000,00;;Maringá;PR;;Apartamento;245,00 m²;-23.4236184;-51.9336066;3;4.0;4;;;;;;;;;;;;;;;2025-02-08
https://www.silvioiwata.com.br/imovel/3620004777/terreno-a-venda/maringa-pr-gleba-ribeirao-atlantique ;Silvio Iwata;;R$ 6.500.000,00;;Maringá;PR;;Terreno;121,00 m²;-23.4209995;-51.9330558;;;;;;;;;;;;;;;;;;2025-02-08
https://www.silvioiwata.com.br/imovel/3620004776/terreno-a-venda/maringa-pr-gleba-ribeirao-atlantique ;Silvio Iwata;;R$ 11.000.000,00;;Maringá;PR;;Terreno;242.000,00 m²;-23.4209995;-51.9330558;;;;;;;;;;;;;;;;;;2025-02-08
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/casa/parque-residencial-tuiuti/82082;Pedro Granado Imóveis;Parque Residencial Tuiuti;R$ 340.000,00;Casa;Maringá;PR;82082.0;Casa/Sobrado;116,16 m²;-23.4059032;-51.8856924;3;2.0;1;;;;;;;;;;;;;;;2025-02-10
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/casa/parque-das-grevileas-3ª-parte/57812;Pedro Granado Imóveis;Parque Das Grevíleas 3ª Parte;R$ 599.000,00;Casa;Maringá;PR;57812.0;Casa/Sobrado;162,34 m²;-23.3850923;-51.92910639999999;3;2.0;1;;;;;;;;;;;;;;;2025-02-10
https://www.pedrogranado.com.br/comprar/maringa/predio/inteiro/parque-residencial-aeroporto-2ª-parte/78503;Pedro Granado Imóveis;Parque Residencial Aeroporto (2ª Parte);R$ 1.220.000,00;Inteiro;Maringá;PR;78503.0;Prédio;400,00 m²;-23.4387801;-51.8971731;6;7.0;2;;;;;;;;;;;;;;;2025-02-10
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/sobrado/jardim-canada-2ª-parte/11933;Pedro Granado Imóveis;Jardim Canadá 2ª Parte;R$ 1.250.000,00;Sobrado;Maringá;PR;11933.0;Casa/Sobrado;213,08 m²;-23.4056234;-51.9511188;3;4.0;3;;;;;;;;;;;;;;;2025-02-10
https://www.leloimoveis.com.br/imovel/casa-residencial-3-quartos-zona-07-maringa-com-garagem-200m2-venda-rs-799000?id=79900&ref=79900.12671;Lelo Imóveis;Zona 07;R$ 799.000,00;;Maringa;PR;79900.12671;Casa;200,00m²;-23.4164986;-51.92471;3;;2;;;;;;;;;;;;;;;2025-02-10
https://www.leloimoveis.com.br/imovel/apartamento-2-quartos-zona-07-maringa-com-garagem-70m2-venda-rs-385000?id=79900&ref=79900.12170;Lelo Imóveis;Zona 07;R$ 385.000,00;;Maringa;PR;79900.1217;Apartamento;70,54m²;-23.4139072;-51.9457607;2;;1;;;;;;;;;;;;;;;2025-02-10
https://www.leloimoveis.com.br/imovel/casa-residencial-2-quartos-parque-das-laranjeiras-maringa-com-garagem-83m2-venda-rs-289000?id=79900&ref=04591.001;Lelo Imóveis;Parque das Laranjeiras;R$ 289.000,00;;Maringa;PR;4591.001;Casa;83,50m²;-23.3880985;-51.9618093;2;;1;;;;;;;;;;;;;;;2025-02-10
https://www.silvioiwata.com.br/imovel/3620005112/apartamento-a-venda/maringa-pr-vl-emilia ;Silvio Iwata;Vl Emília;R$ 54.708,00*;;Maringá;PR;;Apartamento;54,34 m²;-23.4495596;-51.9347171;2;1.0;1;;;;;;;;;;;;;;;2025-02-10
https://www.silvioiwata.com.br/imovel/3620005205/apartamento-a-venda/maringa-pr-jd-aclimacao ;Silvio Iwata;Jd Aclimação;R$ 550.000,00;;Maringá;PR;;Apartamento;82,41 m²;-23.448488;-51.914836;3.0;2.0;1;;;;;;;;;;;;;;;2025-02-10
