broker;district;price;type;city;state;category;area;lat;long;num_bedroom;num_bathroom;num_garage;added_date;is_sold;days_on_market
Pedro Granado Imóveis;Jardim Solimões;160000.0;Padrão;Maringá;PR;Terreno;200.0;;;;;;2025-08-06;False;
Pedro Granado Imóveis;Jardim Solimões;160000.0;Padrão;Maringá;PR;Terreno;200.0;;;;;;2025-08-06;False;
Pedro Granado Imóveis;Jardim Universitário;365000.0;Padrão;Maringá;PR;Apartamento;48.44;;;2.0;2.0;1.0;2025-08-06;False;
Pedro Granado Imóveis;Bom Jardim;400000.0;Padrão;Maringá;PR;Terreno;400.0;;;;;;2025-08-06;False;
Pedro Granado Imóveis;Zona 01;605000.0;Padrão;Maringá;PR;Apartamento;45.61;;;2.0;1.0;;2025-08-06;False;
Pedro Granado Imóveis;Zona 08;;Padrão;Maringá;PR;Apartamento;79.41;;;2.0;2.0;1.0;2025-08-06;False;
Pedro Granado Imóveis;Zona 01;1680000.0;Padrão;Maringá;PR;Apartamento;112.0;;;3.0;5.0;3.0;2025-08-06;False;
Pedro Granado Imóveis;Zona 01;3450000.0;Padrão;Maringá;PR;Apartamento;207.2;;;3.0;5.0;3.0;2025-08-06;False;
Lelo Imóveis;Zona 01;650000.0;;Maringá;PR;Apartamento;127.0;-23.4219;-51.9462824;;;;2025-08-06;False;
Lelo Imóveis;Conj Inocente Vila Nova Junior;1249000.0;;Maringá;PR;Casa;262.0;-23.4416407;-51.9556345;3.0;;2.0;2025-08-06;True;1.0
Lelo Imóveis;Parque Das Grevileas I Parte;830000.0;;Maringá;PR;Casa;355.57;-23.3790485;-51.9326882;3.0;;;2025-08-06;False;
Lelo Imóveis;Parque Das Grevileas I Parte;830000.0;;Maringá;PR;Apartamento;355.57;-23.3790485;-51.9326882;3.0;;;2025-08-06;False;
Lelo Imóveis;Parque Das Grevileas I Parte;830000.0;;Maringá;PR;Comercial;355.57;-23.3790485;-51.9326882;;;;2025-08-06;False;
Lelo Imóveis;Zona 07;320000.0;;Maringá;PR;Apartamento;74.16;-23.4105412;-51.9329029;3.0;;1.0;2025-08-06;False;
Silvio Iwata;Chácaras Aeroporto;500000.0;;Maringá;PR;Terreno;450.12;-23.466482;-51.897067;;;;2025-08-06;False;
Silvio Iwata;Porto Rico;1500000.0;;Porto Rico;PR;Terreno;457.41;-22.770693;-53.268537;;;;2025-08-06;False;
Pedro Granado Imóveis;Zona 7;;Kitnet;Maringá;PR;Apartamento;18.4;;;1.0;1.0;;2025-08-07;False;
Pedro Granado Imóveis;Parque Residencial Cidade Nova;930000.0;Casa;Maringá;PR;Casa;;;;1.0;1.0;;2025-08-07;False;
Pedro Granado Imóveis;Zona 03;1195000.0;Padrão;Maringá;PR;Apartamento;101.0;;;3.0;2.0;1.0;2025-08-07;False;
Lelo Imóveis;Zona 07;319000.0;;Maringá;PR;Apartamento;126.19;-23.4079841;-51.9405787;3.0;;1.0;2025-08-07;False;
Lelo Imóveis;Jardim Guapore;1249000.0;;Maringá;PR;Casa;262.0;-23.4416407;-51.9556345;3.0;;2.0;2025-08-07;False;
Silvio Iwata;Zona 06;235000.0;;Maringá;PR;Apartamento;47.92;-23.4283079;-51.9719695;2.0;2.0;1.0;2025-08-07;False;
Silvio Iwata;Jardins De Monet Residence;640000.0;;Maringá;PR;Terreno;556.46;-23.3605074;-52.0084744;;;;2025-08-07;False;
